title,date,apply,location,company,hire_time,graduate_time,company_industry,company_size,salary,qualifications
"Engineering Intern, Architecture ",26-03-2025,https://jobright.ai/jobs/info/67e45250bc4ba27bee56ed88?utm_source=1099&utm_campaign=Software Engineer,"Sunnyvale, CA",Illumio,Summer,2025-Winter / 2026-Spring,"Cloud Security,Cyber Security",501-1000,$37-$37 /hr,"1. Currently enrolled in a full-time bachelors or masters Computer Science, Software Engineering, or a related field degree-seeking program with an expected graduation date in Winter 2025/Spring 2026.
2. Proficiency in at least one programming language such as Java, Go, Python or Ruby.
3. Exposure to or knowledge of scalability, distributed systems, or cloud computing (could be a part of curriculum / coursework).
..."
Software Developer Intern,26-03-2025,https://jobright.ai/jobs/info/67e4661d9ebeaa907f541664?utm_source=1099&utm_campaign=Software Engineer,"Buffalo Grove, IL",ARxIUM,April,,"Health Care,Medical",101-250,,"1. A student in their third year or later pursuing an undergraduate degree in engineering or computer science, or related field and seeking the opportunity to get hands-on experience
2. Strong sense of drive, initiative, and the ability to manage simultaneous tasks and responsibilities; Able to work well under pressure/in deadline-driven environments
3. Ability to work independently, demonstrate resourcefulness and problem-solving skills
..."
Software Engineer Intern (Test - Ads Quality) - 2025 Summer (BS/MS),26-03-2025,https://jobright.ai/jobs/info/67e43723bb5d5b697303f7c9?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
San Jose, CA
San Jose",TikTok,2025-May,2025,"Content Creators,Content Discovery",10000+,$35-$35 /hr,"1. Currently pursuing a Bachelor's or Master's in Software Development, Computer Science, Computer Engineering, or a related technical discipline.
2. Able to commit to working for 12 weeks with the team.
3. Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorization during employment."
Embedded Software Development Intern,26-03-2025,https://jobright.ai/jobs/info/67b4413a4068f248ac42748b?utm_source=1099&utm_campaign=Software Engineer,"Shanghai, VA",NXP Semiconductors,,,"Apps,Automotive",10000+,,"1. Good knowledge and experience in C/C++, Python programming
2. Skilled in ARM Cortex-M series architecture and its application development"
(General Hire) Software Engineer Intern (USDS)- 2025 Summer (BS/MS),26-03-2025,https://jobright.ai/jobs/info/67bdffd7dfe9ba2825106efb?utm_source=1099&utm_campaign=Software Engineer,"New York, United States",TikTok,2025-May,2025,"Content Creators,Content Discovery",10000+,$45-$45 /hr,"1. Currently pursuing a Bachelor's or Master's in Computer Science, Math, Economics, Statistics, or a related technical discipline.
2. Able to commit to working for 12 weeks during Summer 2025.
3. Experience writing code in Java, Go, Python or a similar language."
Software Engineer Intern,26-03-2025,https://jobright.ai/jobs/info/67e55c6341e7493b679d97ae?utm_source=1099&utm_campaign=Software Engineer,"Auburn Hills, MI","HIROTEC AMERICA, Inc.",,,"Automotive,Manufacturing",251-500,,"1. Basic knowledge of Full Stack Development, with experience or coursework in:
2. C# or .NET development (basic understanding)
3. SQL and database management
..."
IT Web/SharePoint Developer Intern,26-03-2025,https://jobright.ai/jobs/info/67c7bbec49a4146e0cc9c5d8?utm_source=1099&utm_campaign=Software Engineer,"Cedar Park, TX",ETS-Lindgren,,,"Electronics,Manufacturing",501-1000,,"1. Excellent communication skills; both written and verbal
2. Excellent organization skills
3. Experience in SharePoint development or other web development tools is required
..."
Backend Software Engineer Intern (User Experience - Trust and Safety ) - 2025 Start (BS/MS),26-03-2025,https://jobright.ai/jobs/info/67be3b5b9a4703b92b37d9a5?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Seattle, WA
Seattle",TikTok,2025-May,2025,"Content Creators,Content Discovery",10000+,$42.75-$42.75 /hr,"1. Currently pursuing an Undergraduate/Master degree in Software Development, Computer Science, Computer Engineering, or a related technical discipline.
2. Able to commit to working for 12 weeks during the Summer of 2025.
3. Prior experience working with languages like Go/Python/PHP/C++/C/Java.
..."
Software Engineer Intern,26-03-2025,https://jobright.ai/jobs/info/67aa9b361abb11a4b3ab3e7c?utm_source=1099&utm_campaign=Software Engineer,"Indianapolis, IN","FDB (First Databank, Inc.)",,,"Health Care,Information Technology",251-500,$22-$22 /hr,"1. Computer Science or Software Engineer Major
2. Completion of Junior year
3. Minimum GPA – 3.4"
Software Engineer Intern (User Product - Global Payment) - 2025 Summer (BS/MS),26-03-2025,https://jobright.ai/jobs/info/67c7471abb5bb95e9fd00941?utm_source=1099&utm_campaign=Software Engineer,"San Jose, CA",ByteDance,2025-May,2025-December,"Content,Data Mining",10000+,$28-$45 /hr,"1. Currently pursuing an Undergraduate/Graduate/Master in Software Engineering, Computer Science, IT, or a related technical discipline.
2. Excellent programming, debugging, and optimization skills in one or more general purpose programming languages.
3. Strong communication and excellent teamwork skills; flexible and be a self-starter.
..."
Backend Software Engineer Intern (PDI-CSP-FE-i18n) - 2025 Summer (BS/MS),26-03-2025,https://jobright.ai/jobs/info/67c71e319a5a32013125b8de?utm_source=1099&utm_campaign=Software Engineer,"Seattle, WA",ByteDance,2025-May,2025,"Content,Data Mining",10000+,$42.75-$42.75 /hr,"1. Currently pursuing an undergraduate or a graduate degree
2. Able to commit to working more than 3 months
3. Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment
..."
Frontend Software Engineer Intern (Web and Client - Global Payment) - 2025 Summer(BS/MS),26-03-2025,https://jobright.ai/jobs/info/67c7471abb5bb95e9fd00950?utm_source=1099&utm_campaign=Software Engineer,"San Jose, CA",ByteDance,2025-May,2025-December,"Content,Data Mining",10000+,$28-$45 /hr,"1. Currently pursuing an Undergraduate/Graduate/Master in Software Engineering, Computer Science, IT, or a related technical discipline.
2. Proficient in JavaScript, HTML5, CSS3, and modern JavaScript frameworks such as React.js.
3. Familiar with state management libraries (e.g., Redux) and front-end tooling (e.g., Webpack, Babel).
..."
Software Engineer Intern (Privacy & Security - Global Payment) - 2025 Summer(BS/MS),26-03-2025,https://jobright.ai/jobs/info/67c7471abb5bb95e9fd00932?utm_source=1099&utm_campaign=Software Engineer,"San Jose, CA",ByteDance,2025-May,2025,"Content,Data Mining",10000+,$28-$45 /hr,"1. Currently pursuing an Undergraduate/Graduate/Master in Software Engineering, Computer Science, IT, or a related technical discipline.
2. Excellent programming, debugging, and optimization skills in one or more general purpose programming languages
3. Strong communication and excellent teamwork skills; flexible and be a self-starter.
..."
Software Engineer Intern - C++ Runtime Platform,26-03-2025,https://jobright.ai/jobs/info/67e233080affd81df7c5dd82?utm_source=1099&utm_campaign=Software Engineer,"Santa Clara, CA",Plus,,,"Artificial Intelligence (AI),Autonomous Vehicles",251-500,$19-$65 /hr,"1. Experience coding using C++14 or later (you’ll be reading a lot of production code and writing some yourself).
2. Familiarity with development workflow on Linux: compiling and debugging C++ code, basic shell scripting.
3. Basic proficiency of the Python programming language.
..."
Intern - Quality Assurance,26-03-2025,https://jobright.ai/jobs/info/67c78d3d81c9ad10d378a021?utm_source=1099&utm_campaign=Software Engineer,"Independence, KS",VSE Corporation,2025-May,2025,"Information Technology,Technical Support",1001-5000,,"1. Currently pursuing an undergraduate or graduate degree program in relevant or related field
2. Ability to demonstrate strong analytical and quantitative skills is required
3. Ability to balance multiple projects and initiatives while executing results
..."
Application Development Intern,26-03-2025,https://jobright.ai/jobs/info/67aa97d117bf8f0fd6aa2328?utm_source=1099&utm_campaign=Software Engineer,"Brentwood, MO",SPX Technologies,,,"Hardware,Heating  Ventilation  and Air Conditioning (HVAC)",1001-5000,,"1. Basic understanding of Java development and software engineering principles.
2. Familiarity with SQL databases and data structures.
3. Currently pursuing a degree in Computer Science, Information Technology, or a related field."
Software Engineer PhD (Intern) United States,26-03-2025,https://jobright.ai/jobs/info/67dfa3cbc668017b5c7daa42?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
San Jose, CA
North Carolina, United States",Cisco,,,"Communications Infrastructure,Enterprise Software",10000+,$44K-$130K /yr,"1. Actively enrolled in an PhD program in Computer Science, Software Engineering, Computer Engineering, Electrical Engineering or related field
2. Up-to-date on programming and scripting languages: C/C++, Python, Java
3. Hands on QA, Testing, and/or Debugging skills"
Software Engineer Intern,26-03-2025,https://jobright.ai/jobs/info/67aa688e05f2c7937401b69c?utm_source=1099&utm_campaign=Software Engineer,"Rome, NY",Booz Allen Hamilton,,2026-Spring / 2026-Summer,"Consulting,Cyber Security",10000+,$52K-$105K /yr,"1. Experience with Python, Golang, Java, C, C++, Spring, React.js, Node.js, or Angular.js
2. Experience with using Microsoft Office, including Outlook, Word, Excel, and PowerPoint
3. Knowledge of systems development life cycle methodologies and activities
..."
QA Automation Intern,26-03-2025,https://jobright.ai/jobs/info/67e3e5a9b5d9ee007993c958?utm_source=1099&utm_campaign=Software Engineer,"Warsaw, NY",Kyriba,,,"Enterprise Software,Finance",501-1000,,"1. End-of-studies internship
2. Student currently enrolled in a master’s program of an Engineering School or University (Computer Science/Network Engineering, Engineering, or Mathematics)
3. Last year of Engineering School
..."
Front End Software Engineering Co-op - 2025,26-03-2025,https://jobright.ai/jobs/info/67d15e1b3c1eae13ca8c3018?utm_source=1099&utm_campaign=Software Engineer,"Cambridge, MA",Tamr,2025-July,2025,"Analytics,Data Integration",101-250,,"1. Currently pursuing either a Bachelor's or Master's degree in Computer Science, Information Systems, or a technically related field.
2. Strong proficiency in JavaScript, including ES6+ features and functional programming concepts.
3. Understanding of React concepts like components, state management, hooks, and the virtual DOM.
..."
Software Verification Fall 2025 Co-Op,26-03-2025,https://jobright.ai/jobs/info/67aa69f360eadad76d533250?utm_source=1099&utm_campaign=Software Engineer,"Cleveland, OH",Tektronix,2025-Fall,2025,"Electronics,Hardware",1001-5000,,"1. Actively pursuing a bachelor’s degree in Electrical Engineering or Computer Engineering
2. Confirmed experience developing analog hardware circuit designs and/or digital hardware design
3. We look for candidates who will challenge themselves to gain a better understanding of precision and general test measurement equipment
..."
Firmware Engineering Co-Op (June-Dec).,25-03-2025,https://jobright.ai/jobs/info/67ed38b14ea29c752bd19344?utm_source=1099&utm_campaign=Software Engineer,"Waltham, MA",Evident Scientific,2025-July,,"Electronics,Industrial Manufacturing",5001-10000,,"1. C/C++ programming experience
2. Strong understanding of data structures
3. Basic understanding of Linux
..."
"Internship, Embedded Software Engineer Low Voltage Power Management, Vehicle Firmware (Fall 2025)",25-03-2025,https://jobright.ai/jobs/info/67e3ac3ff4b558521f03bb78?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Palo Alto, CA
PALO ALTO, California",Tesla,2025-September,2025-August / 2026-August,"Automotive,Electric Vehicle",10000+,$36.06-$56.12 /hr,"1. Currently pursuing a degree in Mechatronics, Electrical Engineering, Computer Engineering, Systems Engineering, or a related field of study with a graduation date between August 2025-August 2026
2. Experience with fundamental hardware components on PCB and their analysis tools
3. Knowledge of electrical engineering fundamentals including circuit analysis and design
..."
Intern - Software Development Engineer (Summer 2025),25-03-2025,https://jobright.ai/jobs/info/67ed606c1287a009ba3bc83f?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Renton, WA
Renton, WA, United States",Wizards of the Coast,2025-June,2025,"Card and Board Games,Digital Entertainment",251-500,$39-$44 /hr,"1. Currently enrolled in an accredited, degree-seeking program majoring in computer science, engineering or related degree with at least one quarter or semester left after August 2025.
2. Available to work full-time hours for 10 weeks in person at our Renton, WA office location.
3. Authorized to work in the U.S. for any employer.
..."
Intern IT Generalist,25-03-2025,https://jobright.ai/jobs/info/67e3a327e1d0af869b575054?utm_source=1099&utm_campaign=Software Engineer,"Yardley, PA",Cenlar FSB,,,Financial Services,1001-5000,,"1. Currently enrolled as an undergraduate (Junior or Senior) and pursuing a degree from an accredited college or university with a focus in Information Technology, Data Science, Industrial Engineering, or similar major
2. Minimum 3.0 GPA or higher
3. Ability to demonstrate innovative thinking and eagerness to investigate business challenges, both independently and as part of a team, and provide effective solutions
..."
Summer 2025: Software Engineering Intern (Mid May through Mid August) ,25-03-2025,https://jobright.ai/jobs/info/67e3664676a1c51c0eb80a20?utm_source=1099&utm_campaign=Software Engineer,"Madison, Tennessee, United States",SharkNinja,2025-May,,"Consumer Electronics,Hardware",1001-5000,,"1. Currently pursuing a degree in Computer Science, Software Engineering, or a related field.
2. A natural communicator with the ability to explain complex technical topics clearly to both technical and non-technical stakeholders.
3. Strong understanding of software engineering fundamentals, including data structures, algorithms, and software design principles.
..."
Fall 2025: System Quality Assurance Co-op (July through December) ,25-03-2025,https://jobright.ai/jobs/info/67e3664676a1c51c0eb80a5c?utm_source=1099&utm_campaign=Software Engineer,"Needham, MA, United States",SharkNinja,2025-July,,"Consumer Electronics,Hardware",1001-5000,,"1. Interest in participating in manual (non-scripting) day-to-day testing
2. Ability to work collaboratively with others
3. Ability to multitask and problem-solve
..."
Fall 2025: App Quality Assurance Co-op (July through December) ,25-03-2025,https://jobright.ai/jobs/info/67e3664676a1c51c0eb80a1b?utm_source=1099&utm_campaign=Software Engineer,"Needham, MA, United States",SharkNinja,2025-July,,"Consumer Electronics,Hardware",1001-5000,,"1. Interest in participating in day-to-day testing for manual mobile applications
2. Understanding UI/UX functionality for mobile applications
3. Ability to work collaboratively with others
..."
Intern – Software Development – Quantum Computer Calibration Management System,25-03-2025,https://jobright.ai/jobs/info/67e36d1e0f0957b6e7ee7ebc?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Boston, MA  USA
Boston, MA",QuEra Computing Inc.,Summer,,"Computer,Consumer Research",101-250,,"1. Enrollment in an undergraduate or graduate program in Computer Science, Applied Physics, or related field, accompanied with strong programming skills.
2. Proficiency in Python, with an ability to write clean, maintainable code.
3. An eagerness to learn about quantum computing principles and technologies, although no prior experience or coursework in quantum computing required.
..."
Software Engineering Intern (Summer 2025),25-03-2025,https://jobright.ai/jobs/info/67e36d1e0f0957b6e7ee8020?utm_source=1099&utm_campaign=Software Engineer,"New York, New York",Gemini,2025-June,,"Cryptocurrency,Finance",501-1000,$50-$50 /hr,"1. Pursuing a bachelor’s or master's degree in computer science, computer engineering or comparable.
2. Current rising sophomore, junior or senior at a university or college.
3. A customer and product-focused mindset, with the ability to make well-reasoned tradeoffs between speed and quality.
..."
Intern - Gameplay Engineer (Summer 2025),25-03-2025,https://jobright.ai/jobs/info/67e36395de8b786c5da2259c?utm_source=1099&utm_campaign=Software Engineer,"Austin, TX, United States",Wizards of the Coast,2025-June,2025,"Card and Board Games,Digital Entertainment",251-500,$39-$44 /hr,"1. Currently enrolled in an accredited, degree-seeking program majoring in computer science, engineering or related degree with at least one quarter or semester left after August 2025.
2. Available to work full-time hours for 11 weeks in person at our Austin, TX office location.
3. Authorized to work in the U.S. for any employer.
..."
Web Production Intern,25-03-2025,https://jobright.ai/jobs/info/67e345126fd9edf4cdbf5ff7?utm_source=1099&utm_campaign=Software Engineer,"Green Bay, WI",KI,,,"Education,Government",1001-5000,,"1. Currently pursuing or recently completed a degree in Web Design, Digital Marketing, Communications, Graphic Design, or a related field.
2. Familiarity with Content Management Systems (CMS).
3. Basic knowledge of HTML and CSS.
..."
Technical Intern,25-03-2025,https://jobright.ai/jobs/info/67e328496b4314e58b825e4f?utm_source=1099&utm_campaign=Software Engineer,"Paulsboro, NJ",Compucom,,,"Data Center,Hardware",10000+,,"1. Engagement in the Center’s full cycle, including exposure to asset configuration, repair-basics, disposition and all phases of distribution.
2. Training to implement hardware and software configurations for personal computers and other IT devices while complying with specification requirements.
3. Exposure to routine repair, installation, and testing of computer system hardware and software under close supervision.
..."
OSS Development Intern (PAID INTERNSHIP),25-03-2025,https://jobright.ai/jobs/info/67e33212129b8df1743696ef?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Las Vegas, NV
Las Vegas",Boldyn Networks,,,"Infrastructure,Mobile",501-1000,$18-$22 /hr,"1. Currently enrolled in a bachelor’s or master’s degree program in computer science, software engineering, network engineering, data analytics, or a related field
2. 2nd year undergraduate or above with a minimum 3.5 GPA
3. Proficient in Microsoft Office
..."
Software Engineer Intern,25-03-2025,https://jobright.ai/jobs/info/67e328496b4314e58b82630a?utm_source=1099&utm_campaign=Software Engineer,"Tampa, FL","Triage Partners, LLC",,,"Information Technology,Telecommunications",51-100,,"1. Working towards a Bachelor’s degree in computer science and/or information technology, software engineering or a related field.
2. 1+ years of C# or Java
3. Entrepreneurial orientation and creativity.
..."
Full Stack Engineer- Intern,25-03-2025,https://jobright.ai/jobs/info/67e31fda00ffad4d6d5c545f?utm_source=1099&utm_campaign=Software Engineer,"Scottsdale, AZ",Aloware,,,"Communications Infrastructure,CRM",51-100,,"1. Strong interest in full-stack development
2. Experience in VueJS, PHP, MySQL, and AWS
3. Familiarity with integrating and implementing platforms through REST APIs
..."
Undergraduate/Graduate On-site Private Cloud Summer Internship,25-03-2025,https://jobright.ai/jobs/info/67e3119c947dd04df0c67027?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Remote Site
Golden, CO",National Renewable Energy Laboratory,Summer,,"Clean Energy,CleanTech",1001-5000,$39200-$62700 /yr,"1. Minimum of a 3.0 cumulative grade point average.
2. Undergraduate: Must be enrolled as a full-time student in a bachelor’s degree program from an accredited institution.
3. Post Undergraduate: Earned a bachelor’s degree within the past 12 months. Eligible for an internship period of up to one year.
..."
Software Engineering/Development: Software Application Summer Internship,25-03-2025,https://jobright.ai/jobs/info/67e31847ba280feb116e4101?utm_source=1099&utm_campaign=Software Engineer,"Parsippany, NJ",Canfield Scientific,Summer,,"Biotechnology,Health Care",101-250,,"1. Possess a good understanding of computer systems
2. Familiarity with scientific methods and comfortable in working in a team setting
3. Good communications skills (presentation and documentation of results)"
"Research Aide – MCS – Dougherty, Kevin – 3.21.25",25-03-2025,https://jobright.ai/jobs/info/67e303bdf3297838556716c1?utm_source=1099&utm_campaign=Software Engineer,"Lemont, IL USA",Argonne National Laboratory,,,"Energy,Security",1001-5000,$30.36-$45.54 /hr,"1. Must be currently enrolled full-time at an accredited institution and have completed at least one semester of schooling by the start of the program.
2. Must be 18 years or older at the time the appointment begins.
3. Must possess a cumulative GPA of 3.0 on a 4.0 scale.
..."
"Internship, Software Validation Engineer, Vehicle Firmware (Fall 2025)",25-03-2025,https://jobright.ai/jobs/info/67e35878bfb38ae67ef6d9ae?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Palo Alto, CA
PALO ALTO, California",Tesla,2025-September,2025-August / 2026-August,"Automotive,Electric Vehicle",10000+,$36.06-$56.13 /hr,"1. Currently pursuing a degree in Computer Science, Mechatronics, Computer Engineering, Electrical Engineering, or a related field of study with a graduation date between August 2025 – August 2026
2. Understanding of physics fundamentals and first principles concepts
3. Hands-on technical experience debugging complex systems involving networked microprocessors and software-controlled electrical or electromechanical devices
..."
"Internship, High Voltage Systems Embedded Software Engineer, Vehicle Firmware (Fall 2025)",25-03-2025,https://jobright.ai/jobs/info/67e311e39799481f5c2d28f7?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Palo Alto, CA
PALO ALTO, California",Tesla,2025-September,2025-December / 2026-August,"Automotive,Electric Vehicle",10000+,$36.06-$56.12 /hr,"1. Currently working towards a degree in Electrical Engineering, Computer Engineering, Software Engineering, Mechatronics, or a related field of study with a graduation date between December 2025- August 2026
2. Proficiency in C and/or C++ as well as python
3. Strong software fundamentals
..."
Software Test Intern,25-03-2025,https://jobright.ai/jobs/info/67c657fe65512e267b91e00e?utm_source=1099&utm_campaign=Software Engineer,"San Diego, CA",Tandem Diabetes Care,,,,1001-5000,$19-$22 /hr,"1. High School Diploma or equivalent, required.
2. Experience with a scripting language such as JavaScript.
3. Able to effectively convey information related to work product in one-on-one conversation or in a group.
..."
Marketing Cloud & Web Platform Migration (IT) Intern – Summer 2025 Internship Program,25-03-2025,https://jobright.ai/jobs/info/675022a18df8bc306b297709?utm_source=1099&utm_campaign=Software Engineer,"Bridgewater, NJ",Brother USA,2025-June,2025,"Customer Service,Electronics",1001-5000,$20-$20 /hr,"1. Must be a present college sophomore or junior (rising junior or rising senior during the Summer 2025 program period) returning to an undergraduate program following the summer to be eligible
2. Target Major(s) or Fields of Study: Business, Computer Science, Information Technology, Engineering, or a related field
3. Basic knowledge of software testing and familiarity with testing tools
..."
Software Engineer Intern (Recommendation Infra - Data-Arch-TikTok US) - 2025 Summer (BS/MS),25-03-2025,https://jobright.ai/jobs/info/67e2c5a04afe603d1659fb38?utm_source=1099&utm_campaign=Software Engineer,"San Jose, CA",ByteDance,2025-Summer,2025,"Content,Data Mining",10000+,$45-$60 /hr,"1. Currently pursuing an Undergraduate/Master in Computer Science or a related technical discipline
2. Able to commit to working for 12 weeks during Summer 2025
3. Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment.
..."
Embedded Engineering Intern,25-03-2025,https://jobright.ai/jobs/info/67c6b0dc61dff9376dd486c7?utm_source=1099&utm_campaign=Software Engineer,"Houston, TX",Enchanted Rock,,,"Electrical Distribution,Energy",101-250,$20-$25 /hr,1. Pursuing a Bachelor’s or Master’s Degree in Electrical Engineering from an ABET recognized program.
Site Reliability Engineer/ Cloud Engineer Intern,25-03-2025,https://jobright.ai/jobs/info/67c63a8b1e26ba00cca4a584?utm_source=1099&utm_campaign=Software Engineer,"Birmingham, AL",Motion,,,Industrial Automation,5001-10000,,"1. Working on a BS degree in a computer related field (e.g. Computer Science, Engineering)
2. Familiarly with SRE principles
3. Familiarity of DevOps practices (e.g. CI/CD pipelines, containerization, and orchestration)
..."
"Intern, System Application Engineering",25-03-2025,https://jobright.ai/jobs/info/67e2a1d68904b682124ccc30?utm_source=1099&utm_campaign=Software Engineer,"San Jose, CA",Synaptics Incorporated,Fall,,"Hardware,Human Computer Interaction",1001-5000,$30-$52.50 /hr,"1. Candidates should be seeking a Bachelor’s or Advanced degree in Electrical Engineering or Computer Science or a related field
2. Solid foundation in programming languages such as C, C++, or Python
3. Basic understanding of embedded systems, microcontrollers, and electronics
..."
"IT Intern- Software Engineering - Summer 2025 (Peoria, IL or Seattle, WA)",25-03-2025,https://jobright.ai/jobs/info/67e65df571ad03758dd4c759?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Seattle, WA
Peoria, IL",RLI Insurance Company,2025-Summer,,Insurance,501-1000,$20-$25 /hr,"1. High school diploma
2. College coursework
3. 0-2 years of experience in a related field or position
..."
"Strategic Student Program: Xcelerator Security Software Engineering Intern (Summer 2025, FTO)",24-03-2025,https://jobright.ai/jobs/info/67ebb487b54f7f60d654cae2?utm_source=1099&utm_campaign=Software Engineer,"Charlotte, NC",Siemens EDA (Siemens Digital Industries Software),2025-Summer,2026 / 2027,,1001-5000,$22-$50 /hr,"1. Currently enrolled as a university student (undergraduate or graduate)
2. Minimum 3.0 GPA
3. Currently pursuing a bachelor's degree in computer science, or a related engineering field with prior coding experience
..."
Software Engineering Intern,24-03-2025,https://jobright.ai/jobs/info/67e1fcf0e203837ba64b5f46?utm_source=1099&utm_campaign=Software Engineer,"Fremont, California","Alamar Biosciences, Inc.",Summer,,"Biotechnology,Health Care",51-100,$20-$30 /hr,"1. Pursuing a degree in Computer Science, Software Engineering, or a related discipline.
2. Programming experience in Java or C# is required.
3. Experience with the Git source control system is required.
..."
Software Engineer Intern - Runtime Platform,24-03-2025,https://jobright.ai/jobs/info/67e1f6027eb4e41bd8d83c8a?utm_source=1099&utm_campaign=Software Engineer,"Santa Clara, CA",Plus,,,"Artificial Intelligence (AI),Autonomous Vehicles",251-500,$19-$65 /hr,"1. Experience coding using C++14 or later (you’ll be reading a lot of production code and writing some yourself).
2. Familiarity with development workflow on Linux: compiling and debugging C++ code, basic shell scripting.
3. Basic proficiency of the Python programming language.
..."
Technical Marketing Engineer II (Intern) United States,24-03-2025,https://jobright.ai/jobs/info/67e1fd0950e47510a331db89?utm_source=1099&utm_campaign=Software Engineer,"San Jose, California, US",Cisco,,,"Communications Infrastructure,Enterprise Software",10000+,$44000-$130000 /yr,"1. Actively enrolled in a graduate program in fields such as Computer Science, Data Science, Statistics, Mathematics, Engineering, or a related quantitative field, OR recently obtained or actively pursuing a certification from a Technical Boot Camp, Apprenticeship, or Community College in these fields.
2. Experience in Dev-ops Programming and scripting experience in Python, Linux, or other programming language
3. Able to legally live and work in the country for which you’re applying, without visa support or sponsorship"
Technical Marketing Engineer II (Intern) United States,24-03-2025,https://jobright.ai/jobs/info/67e1f41eb47c3ae296f270ac?utm_source=1099&utm_campaign=Software Engineer,"San Jose, CA",Cisco,,,"Communications Infrastructure,Enterprise Software",10000+,$44K-$130K /yr,"1. Actively enrolled in a graduate program in fields such as Computer Science, Data Science, Statistics, Mathematics, Engineering, or a related quantitative field, OR recently obtained or actively pursuing a certification from a Technical Boot Camp, Apprenticeship, or Community College in these fields.
2. Experience in Dev-ops Programming and scripting experience in Python, Linux, or other programming language
3. Able to legally live and work in the country for which you’re applying, without visa support or sponsorship"
Software Test Engineer Intern,24-03-2025,https://jobright.ai/jobs/info/67e1d9b9deaef06bb38586df?utm_source=1099&utm_campaign=Software Engineer,"Warren, MI",CIeNET Technologies,,,"Information Services,Information Technology",1001-5000,,"1. Bachelor Degree in Computer Science, Electrical Engineering or equivalent.
2. Solid proficiency in coding/testing in one or more of the following technologies, including embedded automotive infotainment, voice recognition, mobile communication, user interface programming/testing.
3. Experience with languages: C++, Java, Perl, Python, XML, Windows and Unix shell scripts.
..."
Power Platform Low-Code Development Intern,24-03-2025,https://jobright.ai/jobs/info/67e1d69335a7ed8946fb0eb8?utm_source=1099&utm_campaign=Software Engineer,"San Diego, CA",Kleinfelder,,,"Architecture,Civil Engineering",1001-5000,$21.10-$35.22 /hr,"1. Currently pursuing or completed a Bachelor’s degree in Computer Science, Information Technology, or related field (or equivalent experience)
2. Ability to work collaboratively in a team environment and effectively communicate"
Justice Information Management Systems Intern / Temporary Position (Summer 2025),24-03-2025,https://jobright.ai/jobs/info/67e1eb23520d884fcbf06f53?utm_source=1099&utm_campaign=Software Engineer,"Olathe, KS","Johnson County, KS Government",2025-Summer,2025,"Government,Non Profit",1001-5000,$18-$22 /hr,"1. College senior or recent graduate with a degree (or working toward one) in Computer Science, Information Technology, or a related field.
2. Strong interest in software development, application design, and database management.
3. Basic understanding of SQL and relational databases (e.g., SQL Server).
..."
Software Engineer Intern (Recommendation Infra - Data-Arch-TikTok US) - 2025 Summer (BS/MS),24-03-2025,https://jobright.ai/jobs/info/67e1cd67e80ebcf67ca11aa8?utm_source=1099&utm_campaign=Software Engineer,"Seattle, WA",ByteDance,2025-May,2025,"Content,Data Mining",10000+,$42.75-$42.75 /hr,"1. Currently pursuing an Undergraduate/Master in Computer Science or a related technical discipline
2. Able to commit to working for 12 weeks during Summer 2025
3. Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment.
..."
Software QA Automation Intern,24-03-2025,https://jobright.ai/jobs/info/67e1c3f0633575e1277394ee?utm_source=1099&utm_campaign=Software Engineer,"San Jose, CA",Logitech,,,,5001-10000,$35-$45 /hr,"1. Currently pursuing a Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field.
2. Basic understanding of software testing concepts and methodologies.
3. Familiarity with at least one programming language (Object Oriented) (e.g., Python, Java, JavaScript).
..."
"Intern, Software Engineer, Test Hardware Engineering",24-03-2025,https://jobright.ai/jobs/info/67e1c0cf08b3803f5239025a?utm_source=1099&utm_campaign=Software Engineer,"San Jose, CA",Ayar Labs,,,"Computer,Hardware",101-250,$39-$50 /hr,"1. Actively pursuing a BS or MS in Computer Science, Electrical Engineering, Photonics, or related fields
2. Experience with at least one programming language used for scientific computing software (Python, C++, C#, etc)
3. Experience with instrument communication protocols (GPIB, RS232, USB, etc)"
Software Developer Intern - Salt Lake City,24-03-2025,https://jobright.ai/jobs/info/67e1967835f762d3132dfb9e?utm_source=1099&utm_campaign=Software Engineer,"Utah, United States",InComm Payments,,2026,,1001-5000,,"1. Students graduating in 2026 majoring IT or related fields are eligible
2. Students enrolled at the University near Salt Lake City, Utah
3. Student works a minimum of 20 hours per week year-round, 3.0 GPA and above
..."
